x log_normal gamma weibull
45.25 5.7322901013559983e-05 8.755774120224497e-08 6.047296229304075e-08
45.5 5.610712774471232e-05 8.083606151331824e-08 5.542714694436187e-08
45.75 5.492174263741528e-05 7.462968822144557e-08 5.079939141619929e-08
46.0 5.376586779953929e-05 6.889917774914043e-08 4.655532158969984e-08
46.25 5.263865418879941e-05 6.360810029936593e-08 4.2663366302093256e-08
46.5 5.15392805484309e-05 5.872281005502646e-08 3.9094530860088884e-08
46.75 5.0466952386459526e-05 5.421223285861013e-08 3.582218867034356e-08
47.0 4.942090099659972e-05 5.004767004609575e-08 3.2821889554038324e-08
47.25 4.840038251891616e-05 4.620261720946527e-08 3.00711834245046e-08
47.5 4.740467703847094e-05 4.2652596754846416e-08 2.7549458110127575e-08
47.75 4.6433087720268624e-05 3.937500320901714e-08 2.523779020008714e-08
48.0 4.548493997888884e-05 3.634896030624442e-08 2.3118807878468128e-08
48.25 4.4559580681281066e-05 3.355518896070772e-08 2.117656479344954e-08
48.5 4.3656377381261105e-05 3.097588529750172e-08 1.939642408317428e-08
48.75 4.2774717584325505e-05 2.8594607977850942e-08 1.776495174899163e-08
49.0 4.191400804146285e-05 2.6396174112081017e-08 1.626981863049531e-08
49.25 4.1073674070704424e-05 2.436656310742735e-08 1.4899710295557805e-08
